id;date;author;post;gold_score;updated_gold_score;sentiment_value_model;refined_value
1;2000-01-01;Master;Vårens första blommor har börjat blomma i trädgården.;1;1;1;1
2;2000-01-01;Master;Jag blev upplyft av det stöd jag fick från mina kollegor.;1;1;1;1
3;2000-01-01;Master;Den nya kaffebaren i grannskapet serverar utsökt espresso.;1;1;1;1
4;2000-01-01;Master;Att lyssna på musik på morgonen gör mig glad hela dagen.;1;1;1;1
5;2000-01-01;Master;Jag är tacksam för de lugna stunderna jag får för mig själv.;1;1;1;1
6;2000-01-01;Master;En främmande person hjälpte mig när jag tappade mina saker på gatan.;1;1;1;-1
7;2000-01-01;Master;Jag klarade körkortstestet på första försöket!;1;1;1;1
8;2000-01-01;Master;Helgens utflykt till landsbygden var precis vad jag behövde.;1;1;1;1
9;2000-01-01;Master;Min trädgård är full av färgglada blommor och fjärilar.;1;1;1;1
10;2000-01-01;Master;Att tillbringa tid med min familj är det bästa jag vet.;1;1;1;1
11;2000-01-01;Master;Idag är det torsdag och jag har en ledig dag imorgon.;0;0;0;1
12;2000-01-01;Master;Min mobiltelefon behöver laddas snart.  ;0;0;0;0
13;2000-01-01;Master;Jag tänkte baka bröd till helgen.;0;0;0;0
14;2000-01-01;Master;Det finns en ny utställning på museet jag vill besöka.;0;0;1;1
15;2000-01-01;Master;Jag har planerat att städa mitt rum denna eftermiddag.;0;0;0;1
16;2000-01-01;Master;Jag ska byta till vinterdäck på bilen nästa vecka.;0;0;0;0
17;2000-01-01;Master;Det är vanligt att ha en paraply med sig under hösten.;0;0;0;0
18;2000-01-01;Master;Jag såg en katt sitta på ett staket när jag gick hem.;0;0;0;0
19;2000-01-01;Master;Min favoritbok är utlånad från biblioteket just nu.;0;0;1;0
20;2000-01-01;Master;Jag funderar på att starta en ny hobby.;0;0;0;1
21;2000-01-01;Master;Jag glömde mitt lösenord och kunde inte logga in.;-1;-1;-1;0
22;2000-01-01;Master;Det är tråkigt när vänner avbokar i sista minuten.;-1;-1;-1;0
23;2000-01-01;Master;Den där kakan var verkligen utsökt, jag måste be om receptet.;-1;-1;-1;0
24;2000-01-01;Master;Det var en besvikelse att konserten ställdes in.;-1;-1;1;-1
25;2000-01-01;Master;Jag är trött på det ständiga regnet denna vecka.;-1;-1;-1;-1
26;2000-01-01;Master;Det är så frustrerande när folk inte lyssnar.;-1;-1;-1;-1
27;2000-01-01;Master;Jag råkade spilla kaffe på min nya tröja.;-1;-1;0;0
28;2000-01-01;Master;Jag hittade en spricka i min mobilskärm idag.;-1;-1;0;-1
29;2000-01-01;Master;Det är så irriterande med förseningar i kollektivtrafiken.;-1;-1;-1;-1
30;2000-01-01;Master;Jag kände mig utelämnad när jag inte blev inbjuden till festen.;-1;-1;-1;1
31;2000-01-01;Master;Efter en lång dag är en varm kopp te precis vad jag behöver.;1;1;1;1
32;2000-01-01;Master;Jag är så stolt över mina barns framsteg i skolan.;1;1;1;1
33;2000-01-01;Master;En promenad i skogen gör mig alltid lugn och avslappnad.;1;1;1;1
34;2000-01-01;Master;Att se mina vänner lyckas gör mig otroligt glad.;1;1;1;1
35;2000-01-01;Master;Jag har äntligen lärt mig spela min favoritlåt på gitarr.;1;1;1;1
36;2000-01-01;Master;Den nya restaurangen i stan överträffade alla mina förväntningar.;1;1;1;1
37;2000-01-01;Master;Att hitta en bortglömd tjuga i jackfickan gjorde min dag.;1;1;1;0
38;2000-01-01;Master;Vårt teamprojekt fick beröm från chefen idag.;1;1;1;1
39;2000-01-01;Master;Jag vann första pris i den lokala fototävlingen!;1;1;1;1
40;2000-01-01;Master;Min trädgård blomstrar och det känns som ett litet paradis.;1;1;1;1
41;2000-01-01;Master;Jag lägger mina nycklar alltid på samma plats.;0;0;0;0
42;2000-01-01;Master;Det är dags för årets influensavaccin snart.;0;0;0;0
43;2000-01-01;Master;Jag läser oftast nyheterna på morgonen.;0;0;0;0
44;2000-01-01;Master;Jag funderar på att byta mobiltelefonmodell.;0;0;0;0
45;2000-01-01;Master;I morgon är en annan dag, som de säger.;0;0;0;0
46;2000-01-01;Master;Det är en vanlig dag på kontoret.;0;0;0;0
47;2000-01-01;Master;Jag behöver köpa nya skor för vintern.;0;0;0;1
48;2000-01-01;Master;Jag ska besöka biblioteket för att låna några böcker.;0;0;0;0
49;2000-01-01;Master;Jag dricker alltid två koppar kaffe på morgonen.;0;0;0;0
50;2000-01-01;Master;Det är dags att plantera om krukväxterna.;0;0;0;0
51;2000-01-01;Master;Jag fastnade i trafiken och kom för sent till mötet.;-1;-1;-1;0
52;2000-01-01;Master;Det är så tråkigt att dagarna blir kortare på hösten.;-1;-1;-1;-1
53;2000-01-01;Master;Jag glömde mitt paraply och blev genomblöt i regnet.;-1;-1;-1;0
54;2000-01-01;Master;Min dator kraschade och jag förlorade viktiga filer.;-1;-1;-1;-1
55;2000-01-01;Master;Jag har ont i halsen, kanske är jag förkyld.;-1;-1;-1;-1
56;2000-01-01;Master;Jag är besviken på kvaliteten på de nya hörlurarna.;-1;-1;-1;1
57;2000-01-01;Master;Det känns som att ingenting går min väg idag.;-1;-1;-1;0
58;2000-01-01;Master;Jag saknar solen under de mörka vintermånaderna.;-1;-1;1;-1
59;2000-01-01;Master;Jag brände maten när jag blev distraherad.;-1;-1;-1;-1
60;2000-01-01;Master;Jag råkade tappa min telefon och skärmen sprack.;-1;-1;-1;-1
61;2000-01-01;Master;Solnedgången över havet var helt andlös.;1;1;1;-1
62;2000-01-01;Master;Jag känner mig så lycklig när jag tillbringar tid med min familj.;1;1;1;1
63;2000-01-01;Master;Den där kakan var verkligen utsökt, jag måste be om receptet.;1;1;1;1
64;2000-01-01;Master;Efter mycket hårt arbete fick jag äntligen befordran jag drömt om.;1;1;1;1
